Age;Sexe;Nationalité(s);Quartier
50;F;B;WEIMERSKIRCH
39;F;SK;KIRCHBERG
39;M;F;CESSANGE
30;M;L, I;BONNEVOIE-SUD
90;M;B;BELAIR
6;F;I;CENTS
9;M;R;BEGGEN
5;F;P;GASPERICH
60;F;TJ;BONNEVOIE-SUD
8;F;L, F, BLR;ROLLINGERGRUND/BELAIR-NORD
33;M;F;BEGGEN
37;F;F;BONNEVOIE-SUD
50;F;P;BONNEVOIE-SUD
9;M;B;MERL
42;M;H;LIMPERTSBERG
55;M;D;MERL
42;F;R;LIMPERTSBERG
79;M;L;NEUDORF/WEIMERSHOF
60;F;L;CENTS
76;M;P;BONNEVOIE-SUD
39;F;TJ;BONNEVOIE-SUD
57;M;L;LIMPERTSBERG
33;F;PAK;BEGGEN
4;F;GR;NEUDORF/WEIMERSHOF
36;F;F;BONNEVOIE-SUD
53;F;NEP;CESSANGE
43;F;LTU;BELAIR
36;F;IND;HOLLERICH
55;M;L, YV;GASPERICH
55;M;L, F;BELAIR
56;F;P;MERL
67;F;L, RUS;MERL
6;M;L;GARE
47;M;I;MERL
47;F;I;MERL
44;M;NEP;BONNEVOIE-SUD
36;F;L;BELAIR
49;F;P;GASPERICH
26;F;F;CESSANGE
40;M;TJ;MERL
4;M;L;GASPERICH
31;M;L, P;EICH
31;F;T;GARE
37;M;GR;BONNEVOIE-SUD
6;M;F;EICH
56;M;FIN;KIRCHBERG
20;F;J;LIMPERTSBERG
69;F;P;HAMM
59;F;L;BELAIR
57;F;GR;BONNEVOIE-SUD
59;M;F;MERL
31;F;L;CESSANGE
30;M;L;GASPERICH
56;M;L;LIMPERTSBERG
23;F;L;BONNEVOIE-SUD
87;F;L;BEGGEN
87;F;L;LIMPERTSBERG
58;M;GR;GARE
81;F;L;NEUDORF/WEIMERSHOF
87;F;L;MUEHLENBACH
56;M;L;CENTS
64;M;L;GARE
64;M;L;BEGGEN
31;M;L;BEGGEN
96;M;L;VILLE-HAUTE
49;F;GR;GARE
85;M;L;CENTS
76;M;L;HOLLERICH
32;F;L;HAMM
44;M;LTU;BELAIR
69;F;DK;LIMPERTSBERG
36;F;BG;DOMMELDANGE
95;F;L;GARE
66;M;GR;BELAIR
32;F;L;MERL
65;M;I;BELAIR
62;F;L, GB;CENTS
35;M;IND;HOLLERICH
60;F;L;BONNEVOIE-SUD
84;M;L;CENTS
6;F;D;BELAIR
24;F;L, E;KIRCHBERG
38;M;UKR;NEUDORF/WEIMERSHOF
36;M;EST;GARE
22;M;L, NL, F;ROLLINGERGRUND/BELAIR-NORD
52;M;I;BONNEVOIE-SUD
27;M;D;BONNEVOIE-SUD
47;F;TJ;DOMMELDANGE
49;M;CZ;ROLLINGERGRUND/BELAIR-NORD
38;M;F;MERL
26;M;L, P;KIRCHBERG
57;M;GB;LIMPERTSBERG
50;F;J;LIMPERTSBERG
35;M;P;BONNEVOIE-SUD
31;M;P;NEUDORF/WEIMERSHOF
20;F;L, F;ROLLINGERGRUND/BELAIR-NORD
60;M;EST;CLAUSEN
25;M;P;LIMPERTSBERG
24;M;L, P;MUEHLENBACH
39;F;L, BG;MERL
45;M;D;HOLLERICH
61;M;F;BELAIR
60;M;L, GB;MERL
47;M;BG;GARE
27;M;F;MERL
22;M;L, P;KIRCHBERG
6;M;NL;BELAIR
6;F;F, USA;BELAIR
17;F;P;GARE
25;F;B;GARE
54;M;P;CLAUSEN
73;M;L;CESSANGE
36;M;F;ROLLINGERGRUND/BELAIR-NORD
53;F;L, PL;ROLLINGERGRUND/BELAIR-NORD
40;F;P;MERL
47;M;I;BELAIR
28;M;IRL;WEIMERSKIRCH
50;M;F;BELAIR
46;F;FIN;LIMPERTSBERG
4;F;PHL;BELAIR
16;M;E, F;ROLLINGERGRUND/BELAIR-NORD
